,Mean (ann.),Median,Vol (ann.),Skewness,Excess Kurtosis,Min,Max,P5,P95,Sharpe,Sortino,Max Drawdown,Hit Rate,VaR 95%,CVaR 95%
XLB,0.07516829161361938,0.0007515328272469758,0.23579332641536735,-0.21314045606824875,6.7123267317640565,-0.13252719052691325,0.1315340047682899,-0.02327636421488307,0.022246365990262643,0.3187888849797423,0.42676331820535646,-0.6397503506739791,0.5220050723556616,-0.02327636421488307,-0.03495829429063979
XLI,0.08590010557607128,0.0008218384835429833,0.21205071596747044,-0.334248804422666,7.981413385039206,-0.12040812450426633,0.1191267121773388,-0.020635388189407765,0.019436012463036688,0.4050922685365927,0.5202361382884828,-0.6571531627669404,0.5336416529911979,-0.020635388189407765,-0.032129976164843595
GDX,0.05676953828475993,0.00016583922783438868,0.41402601573064907,-0.1711867673300871,6.523197390106578,-0.25907549273094993,0.23537614477881366,-0.03984327267642507,0.03963948247364822,0.13711587225883945,0.1928719342522628,-0.8986562604548819,0.380426674623303,-0.03984327267642507,-0.059185682234422686
SIL,0.06028297184434571,0.0,0.40903182380265357,-0.3049121163798414,3.124251642109623,-0.18759161483887138,0.150786596344233,-0.04080781074157173,0.040808759825766025,0.1473796617679082,0.20815175289051596,-0.9022592519644227,0.30493808742354167,-0.04080781074157173,-0.05979482102433722
JETS,0.02159738751665476,0.0004331118436576367,0.33332572376938385,-0.3196330071340298,13.572310541200979,-0.22502265596302767,0.17393999528645737,-0.030700298558372568,0.029214729466368595,0.06479364170404447,0.08475595127490444,-0.7155773645730972,0.21482918096374756,-0.030700298558372568,-0.04781245563708932
IYT,0.09284555774602853,0.0006747347176087614,0.23800670091087028,-0.30823936109306493,6.089901884966402,-0.1172923517159396,0.12231393902231075,-0.023176953027560364,0.022219075761101863,0.3900964022891007,0.5185506556668058,-0.6471906479879582,0.44845591526182305,-0.023176953027560364,-0.035811491925916324
XOM,0.08369149586970097,0.00046651728219711003,0.26267730662208466,-0.08657917068223607,8.347760046547975,-0.15027135525490384,0.15863061752043875,-0.025242368153532514,0.024680146091138996,0.31860954014618553,0.4330849087249456,-0.6845156780585188,0.5130538564821722,-0.025242368153532514,-0.03853063174060758
CVX,0.0966326926590681,0.0008396053969114116,0.274309722190243,-0.47045456581642453,19.378942948587927,-0.250062078170836,0.20490367398680032,-0.02549515154842757,0.024270942735662,0.3522758576965423,0.45306815594381294,-0.6141173112814837,0.5264806802924064,-0.02549515154842757,-0.039765981901418175
FCX,0.09502130177514947,0.0006897729699315309,0.5142028720972209,-0.20684358265439412,5.4125992368792435,-0.22731139048825136,0.25993496662668814,-0.04981970015191372,0.048000038992501014,0.18479340923864712,0.24924786829698226,-0.9833575397300771,0.5091749962703267,-0.04981970015191372,-0.0774148557586012
NEM,0.07881727957588398,0.00022331590334668532,0.39598554383357365,0.06449837695386575,4.720808184161275,-0.15904078180711112,0.2245337598752315,-0.03876496060428264,0.03884884299729603,0.19904080036065563,0.28564414324121606,-0.8717106831208188,0.5017156497090854,-0.03876496060428264,-0.05724507451042457
APA,0.05452110029006357,0.0007913096914112098,0.4811570031229338,-2.751718198557888,73.33689984066062,-0.7735927859999815,0.25825089071627166,-0.0417079757795676,0.042524262415335856,0.11331249454169046,0.13597573901416896,-0.9955924812723568,0.5136506042070714,-0.0417079757795676,-0.06746004465997628
OXY,0.09399361543349878,0.00034414724380431473,0.41059216382212305,-3.1632655681651527,105.56846604967862,-0.7342567184321986,0.29041148902014824,-0.03555539474646764,0.03435270096066992,0.22892208793886953,0.2715688943342823,-0.9720719695691168,0.5067880053707295,-0.03555539474646764,-0.05764699215927468
TECK,0.1298608274080807,0.0,0.5692910298278699,-0.18534792931115923,9.260563867343308,-0.32531716841788155,0.3063740260793572,-0.05170843964828454,0.05161761798463174,0.2281097375578625,0.30146396792807684,-0.9911081412403666,0.4471132328807996,-0.05170843964828454,-0.08291271302502538
SM,0.07552076934746267,0.0008027475254689556,0.6451471619906374,-1.4752330505981763,55.96939660905844,-0.9482084504961845,0.5573455707737156,-0.056246889433086436,0.05651838699363247,0.11705975597015593,0.14562342558336824,-0.9998831714416476,0.5103684917201253,-0.056246889433086436,-0.09184715911623641
TGB,0.06657116426710069,0.0,0.7436133626179082,0.24856822243144447,3.057712764374322,-0.27744660257815734,0.30368237488581906,-0.07156863275448087,0.07598590697792205,0.08952389455823569,0.13646305445718268,-0.9996081469131559,0.4301059227211696,-0.07156863275448087,-0.10390850770033448
GORO,-0.18225357190956032,0.0,2.2813448290544485,0.3370181562480076,13.161004378435507,-1.0986122886681098,1.3862943611198906,-0.22314353641304868,0.22314353641304863,-0.07988865584388624,-0.07410841062418082,-1.0,0.1220349097419066,-0.22314353641304868,-0.37038503743730633
SPY,0.08019897071811213,0.0006923442144220793,0.19275383167510493,-0.20979832691991918,11.57061944233742,-0.11588626162425378,0.13557655357178583,-0.018985240612537944,0.017066136298525065,0.41606939805633036,0.517057194549592,-0.5957595721551872,0.5448306728330599,-0.018985240612537944,-0.029499472616506872
QQQ,0.08249342657001296,0.0010971835826510115,0.2672970675355764,0.002572966977266398,6.9364208660769755,-0.12759225186726267,0.15565366537371916,-0.02714482513702463,0.023902059648221976,0.30862076913370307,0.3936826478914192,-0.879451805442824,0.5442339251081605,-0.02714482513702463,-0.041373459745004705
IWM,0.08418406035016181,0.001006133024496279,0.23903866765201526,-0.4272157216552344,5.904694353363069,-0.14233516904087642,0.08754481744496119,-0.023280362069024736,0.022708692848701816,0.35217758355612255,0.4733519965830093,-0.640393588025382,0.5230493808742355,-0.023280362069024736,-0.03482029618568038
IJH,0.09402830263912576,0.0008266763444405521,0.21473979498444137,-0.5443983797026822,9.867276377671107,-0.15586098449370356,0.10226721270969864,-0.020770074293557397,0.01974568253068285,0.43787087831549076,0.55850611702268,-0.600575628715183,0.5272266149485305,-0.020770074293557397,-0.03200008988770931
MGC,0.11007355584451242,0.0007395600840201936,0.1950850604138142,-0.39383503076953585,12.559027586176475,-0.1234955106593693,0.10971204479082694,-0.018241126007157278,0.017011378461500685,0.5642336507522643,0.6711063054732577,-0.5586490011284863,0.3828136655229002,-0.018241126007157278,-0.030632758181335647
^VIX,-0.01945382626857382,-0.005670643753169772,1.1385964677358387,1.0052331843309674,6.729657385663382,-0.4424487591644147,0.7682450294663026,-0.10150812227762938,0.1169106176649163,-0.017085795380393915,-0.02947958946087151,-0.9999999739898442,0.45576607489183946,-0.10150812227762938,-0.1424782097362059
DX-Y.NYB,-0.0001955748335168269,0.0,0.07690031784957749,-0.05838585022695649,1.6817659380049634,-0.027168952025781425,0.025237074170757077,-0.00788175937706607,0.007813156877995046,-0.0025432252945870163,-0.0037851766928438564,-0.4216366992360387,0.4964941071162166,-0.00788175937706607,-0.010857500219952687
^TNX,-0.012306791357211438,-0.0004528711541318026,0.37597853560963573,0.22139013717080316,35.12276133644824,-0.34700907406569687,0.40479689084622306,-0.032277013300229446,0.03367510846584451,-0.03273269666114428,-0.043801979979321594,-0.9828574320606575,0.4775473668506639,-0.032277013300229446,-0.052224444246178746
