,impulse,response,period,irf
224,XOM,XOM,14,-1.4406051984905523e-05
225,XOM,XOM,15,3.054980173903577e-05
226,XOM,XOM,16,1.8213068760771115e-05
227,XOM,XOM,17,1.3619085775665873e-05
228,XOM,XOM,18,-1.6027570208796627e-05
229,XOM,XOM,19,-1.2255254747743834e-06
230,XOM,XOM,20,-2.4131943409087434e-06
231,XOM,CVX,0,0.008287676912502288
232,XOM,CVX,1,-0.0001782532543332751
233,XOM,CVX,2,-0.00048781454162621067
234,XOM,CVX,3,3.275766301245396e-05
235,XOM,CVX,4,0.0002115740863861938
236,XOM,CVX,5,0.00029947834385651135
237,XOM,CVX,6,8.552938353266537e-05
238,XOM,CVX,7,-7.758523417886651e-05
239,XOM,CVX,8,0.0003108452930830893
240,XOM,CVX,9,-0.0004503887467795201
241,XOM,CVX,10,8.868517044263722e-06
242,XOM,CVX,11,-7.51316771504203e-06
243,XOM,CVX,12,-2.144745081638959e-05
244,XOM,CVX,13,2.8009921402840726e-05
245,XOM,CVX,14,-4.6054262913646295e-05
246,XOM,CVX,15,4.470014236928151e-05
247,XOM,CVX,16,-1.3547457295081318e-05
248,XOM,CVX,17,1.7595691416108093e-05
249,XOM,CVX,18,-1.388589581251346e-05
250,XOM,CVX,19,-6.597862863086385e-07
251,XOM,CVX,20,2.6651903522260054e-06
252,CVX,CL=F,0,0.0
253,CVX,CL=F,1,-0.0005901497490256421
254,CVX,CL=F,2,-0.00033607816503126276
255,CVX,CL=F,3,-4.26391286057707e-05
256,CVX,CL=F,4,-3.126346303877011e-05
257,CVX,CL=F,5,-6.210077294818291e-05
258,CVX,CL=F,6,0.0007517522959233334
259,CVX,CL=F,7,0.0005561502513613097
260,CVX,CL=F,8,-0.0004111221427924626
261,CVX,CL=F,9,0.0009447805204652117
262,CVX,CL=F,10,-1.0538959187074992e-05
263,CVX,CL=F,11,-1.7380623588704765e-05
264,CVX,CL=F,12,-0.0001739035437367492
265,CVX,CL=F,13,5.109354149925031e-05
266,CVX,CL=F,14,-1.2061586443976575e-05
267,CVX,CL=F,15,-7.56991161732028e-05
268,CVX,CL=F,16,9.32027601725933e-05
269,CVX,CL=F,17,-3.0074309762892562e-05
270,CVX,CL=F,18,-1.8488353384527217e-05
271,CVX,CL=F,19,-1.7494787374417736e-05
272,CVX,CL=F,20,1.4781513690786486e-05
273,CVX,SPY,0,0.0
274,CVX,SPY,1,-0.0004153007859324902
275,CVX,SPY,2,0.00021551877714716432
276,CVX,SPY,3,0.0002622068538130379
277,CVX,SPY,4,-0.0001633686687538331
278,CVX,SPY,5,-0.00018795709268743435
279,CVX,SPY,6,-0.00010050342970165629
280,CVX,SPY,7,2.4465667872525415e-05
281,CVX,SPY,8,-0.0002246703012952351
282,CVX,SPY,9,0.00035454885934296055
283,CVX,SPY,10,-2.1084729728115906e-05
284,CVX,SPY,11,-1.375834900454196e-05
285,CVX,SPY,12,-4.948678408869893e-06
286,CVX,SPY,13,-1.759401239510055e-05
287,CVX,SPY,14,-2.0622385405468183e-05
288,CVX,SPY,15,-3.824774578321004e-05
289,CVX,SPY,16,5.1661485379167915e-05
290,CVX,SPY,17,-2.900035231825433e-05
291,CVX,SPY,18,6.614262071174329e-06
292,CVX,SPY,19,2.9378161373153775e-06
293,CVX,SPY,20,1.146882021410637e-06
294,CVX,XOM,0,0.0
295,CVX,XOM,1,-0.0006668047228224319
296,CVX,XOM,2,5.9274195377848085e-05
297,CVX,XOM,3,0.00017578850398437031
298,CVX,XOM,4,-0.0002631342620767314
299,CVX,XOM,5,-6.910158189093995e-05
300,CVX,XOM,6,1.4801491148969171e-05
301,CVX,XOM,7,8.073421310387315e-05
302,CVX,XOM,8,8.750048029877762e-05
303,CVX,XOM,9,0.0007647254214825939
304,CVX,XOM,10,-4.669290879832916e-05
305,CVX,XOM,11,-4.4038906519476226e-05
306,CVX,XOM,12,-4.8753958587501096e-05
307,CVX,XOM,13,1.9734010460470466e-07
308,CVX,XOM,14,-3.809973395506794e-05
309,CVX,XOM,15,-4.9063230178980545e-05
310,CVX,XOM,16,3.7517216900410596e-05
311,CVX,XOM,17,-4.31723422296741e-05
312,CVX,XOM,18,-4.759593004050656e-06
313,CVX,XOM,19,6.875255962442098e-07
314,CVX,XOM,20,5.238697663975765e-06
315,CVX,CVX,0,0.008582139451666703
316,CVX,CVX,1,-0.0008645928956213614
317,CVX,CVX,2,0.00014772570889775593
318,CVX,CVX,3,-0.00011912666142751477
319,CVX,CVX,4,-0.0004116665692727335
320,CVX,CVX,5,-0.00021088356575561958
321,CVX,CVX,6,-3.303445686450036e-05
322,CVX,CVX,7,0.0004178159533236378
323,CVX,CVX,8,-0.0002486658206149105
324,CVX,CVX,9,0.0005582596365645298
325,CVX,CVX,10,-5.375102711925081e-05
326,CVX,CVX,11,-2.3850755699072973e-05
327,CVX,CVX,12,-2.066981600183235e-05
328,CVX,CVX,13,-1.697518085952411e-05
329,CVX,CVX,14,2.247045223013245e-05
330,CVX,CVX,15,-8.540702857533088e-05
331,CVX,CVX,16,5.9221723658679964e-05
332,CVX,CVX,17,-3.057709830279797e-05
333,CVX,CVX,18,-3.3321438117960895e-06
334,CVX,CVX,19,-2.739029804116205e-06
335,CVX,CVX,20,-1.6053176411487202e-06
