,event_type,asset,window_days,n_events,mean_CAR,std_CAR,t_stat,pvalue,significant,mean_CAR_pre
113,WASDE,SI=F,5,68,0.006641,0.057901,0.9388,0.351204,False,-0.005419
114,WASDE,HG=F,1,68,0.00139,0.022316,0.5098,0.611897,False,0.004848
115,WASDE,HG=F,3,68,0.00065,0.029477,0.1806,0.85724,False,0.004848
116,WASDE,HG=F,5,68,0.001091,0.039213,0.2278,0.8205,False,0.004848
117,WASDE,ZC=F,1,68,0.001001,0.025466,0.3218,0.748603,False,0.00278
118,WASDE,ZC=F,3,68,-0.006583,0.052892,-1.0187,0.312005,False,0.00278
119,WASDE,ZC=F,5,68,-0.006593,0.057555,-0.9376,0.351829,False,0.00278
120,WASDE,ZW=F,1,68,-0.004243,0.033335,-1.0418,0.301255,False,0.003956
121,WASDE,ZW=F,3,68,-0.001253,0.046766,-0.2193,0.827046,False,0.003956
122,WASDE,ZW=F,5,68,0.001983,0.053596,0.3029,0.762941,False,0.003956
123,WASDE,ZS=F,1,68,-0.000977,0.026059,-0.3069,0.75986,False,0.001209
124,WASDE,ZS=F,3,68,-0.006446,0.03484,-1.5145,0.134595,False,0.001209
125,WASDE,ZS=F,5,68,-0.006313,0.043354,-1.192,0.237476,False,0.001209
126,WASDE,XLE,1,68,-0.001545,0.019175,-0.6594,0.511928,False,0.003012
127,WASDE,XLE,3,68,-0.001782,0.028486,-0.5121,0.610241,False,0.003012
128,WASDE,XLE,5,68,-0.005413,0.048177,-0.9196,0.361056,False,0.003012
129,WASDE,XLB,1,68,0.00064,0.010969,0.4779,0.634297,False,-0.000329
130,WASDE,XLB,3,68,-0.000843,0.015581,-0.4429,0.659294,False,-0.000329
131,WASDE,XLB,5,68,-0.000755,0.021783,-0.2837,0.777496,False,-0.000329
132,WASDE,XLI,1,68,-0.000196,0.008178,-0.196,0.845216,False,0.001498
133,WASDE,XLI,3,68,-0.001471,0.012852,-0.9369,0.352184,False,0.001498
134,WASDE,XLI,5,68,-0.00155,0.018045,-0.7033,0.484315,False,0.001498
135,WASDE,GDX,1,68,0.001255,0.034963,0.2937,0.769874,False,-0.002334
136,WASDE,GDX,3,68,0.000745,0.06467,0.0943,0.925135,False,-0.002334
137,WASDE,GDX,5,68,0.006915,0.053947,1.0492,0.297851,False,-0.002334
138,WASDE,SIL,1,68,0.002183,0.035666,0.5009,0.61807,False,-0.004727
139,WASDE,SIL,3,68,0.000602,0.067433,0.0731,0.94194,False,-0.004727
140,WASDE,SIL,5,68,0.007534,0.060623,1.0173,0.312693,False,-0.004727
141,WASDE,JETS,1,68,-0.002188,0.024987,-0.7167,0.47602,False,0.008788
142,WASDE,JETS,3,68,-0.005087,0.035345,-1.1781,0.242921,False,0.008788
143,WASDE,JETS,5,68,-0.003912,0.046153,-0.6938,0.490231,False,0.008788
144,WASDE,IYT,1,68,0.000677,0.011993,0.4621,0.645503,False,0.001847
145,WASDE,IYT,3,68,2e-06,0.019098,0.0007,0.999479,False,0.001847
146,WASDE,IYT,5,68,0.001307,0.022969,0.4656,0.64298,False,0.001847
147,WASDE,XOM,1,68,-0.004035,0.020764,-1.5906,0.116409,False,0.00479
148,WASDE,XOM,3,68,-0.005325,0.02978,-1.4637,0.147945,False,0.00479
149,WASDE,XOM,5,68,-0.007671,0.048598,-1.292,0.200806,False,0.00479
150,WASDE,CVX,1,68,-0.002308,0.021596,-0.8747,0.38486,False,0.004827
151,WASDE,CVX,3,68,-0.001387,0.027456,-0.4135,0.680532,False,0.004827
152,WASDE,CVX,5,68,-0.004527,0.042555,-0.8707,0.387008,False,0.004827
153,WASDE,FCX,1,68,-0.006503,0.030978,-1.7182,0.090382,False,0.008879
154,WASDE,FCX,3,68,-0.008557,0.045374,-1.5437,0.127373,False,0.008879
155,WASDE,FCX,5,68,-0.009181,0.061818,-1.2157,0.228379,False,0.008879
156,WASDE,NEM,1,68,0.002685,0.036287,0.6056,0.546812,False,0.001067
157,WASDE,NEM,3,68,0.004709,0.053671,0.7182,0.475126,False,0.001067
158,WASDE,NEM,5,68,0.009042,0.057585,1.2853,0.203122,False,0.001067
159,WASDE,APA,1,68,-0.003537,0.044421,-0.6517,0.516798,False,0.007676
160,WASDE,APA,3,68,-0.002198,0.060561,-0.2971,0.767282,False,0.007676
161,WASDE,APA,5,68,-0.007751,0.089603,-0.708,0.481385,False,0.007676
162,WASDE,OXY,1,68,-0.002287,0.034681,-0.5398,0.591123,False,0.003377
163,WASDE,OXY,3,68,0.0011,0.054916,0.1639,0.870285,False,0.003377
164,WASDE,OXY,5,68,-0.006137,0.075242,-0.6676,0.506685,False,0.003377
165,WASDE,TECK,1,68,0.00018,0.035776,0.0412,0.96722,False,0.003582
166,WASDE,TECK,3,68,0.008908,0.053488,1.3632,0.177373,False,0.003582
167,WASDE,TECK,5,68,0.005431,0.073456,0.6052,0.547115,False,0.003582
168,WASDE,SM,1,68,-0.001066,0.053948,-0.1618,0.871974,False,0.003811
169,WASDE,SM,3,68,0.006653,0.098113,0.555,0.58072,False,0.003811
170,WASDE,SM,5,68,-0.00582,0.112585,-0.4232,0.673535,False,0.003811
171,WASDE,TGB,1,68,-0.007124,0.050058,-1.1648,0.248211,False,0.008273
172,WASDE,TGB,3,68,-0.006234,0.080333,-0.6352,0.527456,False,0.008273
173,WASDE,TGB,5,68,0.000209,0.107019,0.0159,0.987324,False,0.008273
174,WASDE,GORO,1,68,-0.038451,0.222841,-1.4124,0.162467,False,0.028104
175,WASDE,GORO,3,68,-0.019953,0.259258,-0.63,0.530858,False,0.028104
176,WASDE,GORO,5,68,-0.008536,0.269732,-0.259,0.796395,False,0.028104
177,WASDE,QQQ,1,68,0.000525,0.007081,0.6068,0.546052,False,-0.001567
178,WASDE,QQQ,3,68,0.001241,0.010562,0.9619,0.339536,False,-0.001567
179,WASDE,QQQ,5,68,0.002062,0.014467,1.1665,0.247546,False,-0.001567
180,WASDE,IWM,1,68,0.000432,0.01401,0.2522,0.801636,False,-0.000476
181,WASDE,IWM,3,68,0.000852,0.02155,0.3235,0.747351,False,-0.000476
182,WASDE,IWM,5,68,0.000459,0.026551,0.1416,0.887832,False,-0.000476
183,WASDE,IJH,1,68,0.000244,0.010253,0.1951,0.845877,False,-0.000609
184,WASDE,IJH,3,68,2.2e-05,0.014563,0.0124,0.990141,False,-0.000609
185,WASDE,IJH,5,68,7.1e-05,0.018963,0.0305,0.975777,False,-0.000609
186,WASDE,MGC,1,68,0.000125,0.001811,0.5645,0.574269,False,-0.000295
187,WASDE,MGC,3,68,0.000466,0.002356,1.6188,0.110193,False,-0.000295
188,WASDE,MGC,5,68,0.000416,0.002703,1.2583,0.212664,False,-0.000295
189,WASDE,^VIX,1,68,-0.000189,0.062685,-0.0247,0.980389,False,-0.01517
190,WASDE,^VIX,3,68,-0.012285,0.086776,-1.1588,0.250656,False,-0.01517
191,WASDE,^VIX,5,68,-0.014179,0.106944,-1.0852,0.28171,False,-0.01517
192,WASDE,DX-Y.NYB,1,68,-0.000199,0.007546,-0.2158,0.82977,False,0.000651
193,WASDE,DX-Y.NYB,3,68,-0.000723,0.010138,-0.5838,0.561283,False,0.000651
194,WASDE,DX-Y.NYB,5,68,-0.000213,0.012566,-0.139,0.889844,False,0.000651
195,WASDE,^TNX,1,68,0.009181,0.07092,1.0596,0.293126,False,0.012305
196,WASDE,^TNX,3,68,0.010421,0.096418,0.8847,0.37949,False,0.012305
197,WASDE,^TNX,5,68,0.012797,0.126018,0.8312,0.408786,False,0.012305
198,EIA_OIL,CL=F,1,200,0.000725,0.032545,0.3141,0.75376,False,0.000465
199,EIA_OIL,CL=F,3,200,0.00273,0.046381,0.8303,0.40737,False,0.000465
200,EIA_OIL,CL=F,5,200,-0.001913,0.059557,-0.453,0.651015,False,0.000465
201,EIA_OIL,BZ=F,1,200,0.00086,0.031068,0.3907,0.696444,False,0.000262
202,EIA_OIL,BZ=F,3,200,0.002325,0.042335,0.7747,0.43941,False,0.000262
203,EIA_OIL,BZ=F,5,200,-0.001764,0.058735,-0.4236,0.672308,False,0.000262
204,EIA_OIL,NG=F,1,200,-0.000527,0.073165,-0.1015,0.919227,False,0.000466
205,EIA_OIL,NG=F,3,200,0.000874,0.109982,0.1121,0.91087,False,0.000466
206,EIA_OIL,NG=F,5,200,0.003128,0.126135,0.3498,0.726856,False,0.000466
207,EIA_OIL,GC=F,1,200,-0.000332,0.014937,-0.3138,0.754021,False,0.000315
208,EIA_OIL,GC=F,3,200,-0.000266,0.02477,-0.1512,0.879955,False,0.000315
209,EIA_OIL,GC=F,5,200,0.001013,0.02915,0.4904,0.624421,False,0.000315
210,EIA_OIL,SI=F,1,200,-0.001093,0.029605,-0.5209,0.603012,False,-0.000397
211,EIA_OIL,SI=F,3,200,-0.001027,0.050741,-0.2854,0.775603,False,-0.000397
212,EIA_OIL,SI=F,5,200,0.001129,0.057314,0.278,0.781317,False,-0.000397
213,EIA_OIL,HG=F,1,200,-0.001087,0.027142,-0.5651,0.572669,False,0.000613
214,EIA_OIL,HG=F,3,200,-0.000136,0.034148,-0.0561,0.955346,False,0.000613
215,EIA_OIL,HG=F,5,200,0.000137,0.041188,0.047,0.962569,False,0.000613
216,EIA_OIL,ZC=F,1,200,0.001078,0.018422,0.8258,0.409933,False,0.00083
217,EIA_OIL,ZC=F,3,200,0.002021,0.030246,0.9425,0.347056,False,0.00083
218,EIA_OIL,ZC=F,5,200,0.001432,0.035709,0.5658,0.572165,False,0.00083
219,EIA_OIL,ZW=F,1,200,0.000386,0.026056,0.2089,0.834726,False,0.001126
220,EIA_OIL,ZW=F,3,200,0.001495,0.038052,0.5542,0.580062,False,0.001126
221,EIA_OIL,ZW=F,5,200,0.002014,0.046601,0.6096,0.542823,False,0.001126
222,EIA_OIL,ZS=F,1,200,-2.2e-05,0.014877,-0.0212,0.983101,False,0.00096
223,EIA_OIL,ZS=F,3,200,0.001443,0.02344,0.8683,0.386262,False,0.00096
224,EIA_OIL,ZS=F,5,200,0.000764,0.028146,0.3828,0.702256,False,0.00096
225,EIA_OIL,XLE,1,200,-0.000984,0.019363,-0.7169,0.474305,False,-0.000364
226,EIA_OIL,XLE,3,200,-0.000396,0.025576,-0.2184,0.827315,False,-0.000364
227,EIA_OIL,XLE,5,200,-0.00259,0.033943,-1.0764,0.283043,False,-0.000364
228,EIA_OIL,XLB,1,200,-0.000505,0.010981,-0.6483,0.517518,False,1e-05
229,EIA_OIL,XLB,3,200,-0.00081,0.015755,-0.7255,0.469018,False,1e-05
230,EIA_OIL,XLB,5,200,-0.000775,0.02036,-0.5371,0.591823,False,1e-05
231,EIA_OIL,XLI,1,200,-0.000284,0.008732,-0.4595,0.646398,False,-0.000286
232,EIA_OIL,XLI,3,200,-0.000263,0.011172,-0.332,0.74027,False,-0.000286
233,EIA_OIL,XLI,5,200,-0.001142,0.014344,-1.1229,0.262841,False,-0.000286
234,EIA_OIL,GDX,1,200,-4.5e-05,0.031071,-0.0205,0.983699,False,0.001108
235,EIA_OIL,GDX,3,200,0.000465,0.045507,0.1443,0.885444,False,0.001108
236,EIA_OIL,GDX,5,200,0.001298,0.057812,0.3166,0.751857,False,0.001108
237,EIA_OIL,SIL,1,200,0.000114,0.032266,0.0497,0.960423,False,0.000801
238,EIA_OIL,SIL,3,200,0.000529,0.048574,0.1537,0.877993,False,0.000801
239,EIA_OIL,SIL,5,200,0.001002,0.062123,0.2275,0.820259,False,0.000801
240,EIA_OIL,JETS,1,200,-0.000238,0.020984,-0.16,0.873033,False,-0.000545
241,EIA_OIL,JETS,3,200,-0.001404,0.027044,-0.7325,0.464752,False,-0.000545
242,EIA_OIL,JETS,5,200,-0.000445,0.037143,-0.1688,0.866095,False,-0.000545
243,EIA_OIL,IYT,1,200,0.000144,0.01207,0.1682,0.866577,False,2.3e-05
244,EIA_OIL,IYT,3,200,-2.7e-05,0.017314,-0.0221,0.982404,False,2.3e-05
245,EIA_OIL,IYT,5,200,-0.000543,0.021362,-0.3584,0.720398,False,2.3e-05
246,EIA_OIL,XOM,1,200,-0.001567,0.020922,-1.0562,0.29214,False,-0.000446
247,EIA_OIL,XOM,3,200,-0.000718,0.027314,-0.3706,0.711298,False,-0.000446
248,EIA_OIL,XOM,5,200,-0.003285,0.036607,-1.2661,0.206958,False,-0.000446
249,EIA_OIL,CVX,1,200,-0.000899,0.01951,-0.6503,0.51628,False,-0.000371
250,EIA_OIL,CVX,3,200,7e-06,0.028214,0.0034,0.997296,False,-0.000371
251,EIA_OIL,CVX,5,200,-0.003021,0.035438,-1.2025,0.23058,False,-0.000371
252,EIA_OIL,FCX,1,200,-0.001369,0.036888,-0.5234,0.601283,False,0.000468
253,EIA_OIL,FCX,3,200,-0.002031,0.044416,-0.645,0.51967,False,0.000468
254,EIA_OIL,FCX,5,200,-0.000742,0.058526,-0.1789,0.85822,False,0.000468
255,EIA_OIL,NEM,1,200,0.001009,0.036447,0.3903,0.696696,False,0.001614
256,EIA_OIL,NEM,3,200,0.00225,0.049749,0.6381,0.524124,False,0.001614
257,EIA_OIL,NEM,5,200,0.002503,0.061919,0.5703,0.569118,False,0.001614
258,EIA_OIL,APA,1,200,-0.001755,0.036781,-0.673,0.501741,False,-0.000899
259,EIA_OIL,APA,3,200,-0.001036,0.051639,-0.2829,0.777562,False,-0.000899
260,EIA_OIL,APA,5,200,-0.00332,0.06481,-0.7227,0.470737,False,-0.000899
261,EIA_OIL,OXY,1,200,-0.001,0.027532,-0.5124,0.60891,False,-0.000776
262,EIA_OIL,OXY,3,200,-0.000733,0.03629,-0.285,0.77593,False,-0.000776
263,EIA_OIL,OXY,5,200,-0.003512,0.04411,-1.123,0.262773,False,-0.000776
264,EIA_OIL,TECK,1,200,0.001613,0.033757,0.6741,0.501016,False,0.00044
265,EIA_OIL,TECK,3,200,0.00094,0.043953,0.3015,0.763317,False,0.00044
266,EIA_OIL,TECK,5,200,0.000122,0.054731,0.0316,0.974856,False,0.00044
267,EIA_OIL,SM,1,200,-0.00089,0.039088,-0.3214,0.748273,False,-2.6e-05
268,EIA_OIL,SM,3,200,-0.000553,0.054497,-0.1431,0.886382,False,-2.6e-05
269,EIA_OIL,SM,5,200,-0.001599,0.069989,-0.3223,0.747581,False,-2.6e-05
270,EIA_OIL,TGB,1,200,-0.002332,0.046594,-0.706,0.481005,False,0.000824
271,EIA_OIL,TGB,3,200,-0.001008,0.067669,-0.2101,0.833819,False,0.000824
272,EIA_OIL,TGB,5,200,-0.000747,0.081957,-0.1285,0.897887,False,0.000824
273,EIA_OIL,GORO,1,200,-0.005266,0.148536,-0.5002,0.617511,False,0.003453
274,EIA_OIL,GORO,3,200,0.012638,0.195308,0.9128,0.362438,False,0.003453
275,EIA_OIL,GORO,5,200,-0.011946,0.257341,-0.6548,0.513339,False,0.003453
276,EIA_OIL,QQQ,1,200,0.000411,0.006382,0.9074,0.365303,False,5.5e-05
277,EIA_OIL,QQQ,3,200,0.000332,0.008949,0.5228,0.60169,False,5.5e-05
278,EIA_OIL,QQQ,5,200,0.000393,0.011079,0.5004,0.617381,False,5.5e-05
279,EIA_OIL,IWM,1,200,4.7e-05,0.010677,0.0616,0.950945,False,0.000231
280,EIA_OIL,IWM,3,200,-0.00042,0.014811,-0.3999,0.689694,False,0.000231
281,EIA_OIL,IWM,5,200,-0.000351,0.019621,-0.2525,0.8009,False,0.000231
282,EIA_OIL,IJH,1,200,-0.000154,0.008324,-0.2613,0.794139,False,-8.4e-05
283,EIA_OIL,IJH,3,200,-0.000618,0.011537,-0.7558,0.450689,False,-8.4e-05
284,EIA_OIL,IJH,5,200,-0.000659,0.015215,-0.6111,0.541835,False,-8.4e-05
285,EIA_OIL,MGC,1,200,2.7e-05,0.001372,0.2768,0.782228,False,6.6e-05
286,EIA_OIL,MGC,3,200,6.6e-05,0.001836,0.5074,0.612462,False,6.6e-05
287,EIA_OIL,MGC,5,200,8.5e-05,0.002394,0.5014,0.616672,False,6.6e-05
288,EIA_OIL,^VIX,1,200,-0.007575,0.051203,-2.087,0.038161,True,-0.004474
289,EIA_OIL,^VIX,3,200,-0.002067,0.078527,-0.3713,0.710817,False,-0.004474
290,EIA_OIL,^VIX,5,200,-0.005468,0.095754,-0.8056,0.421437,False,-0.004474
291,EIA_OIL,DX-Y.NYB,1,200,-7e-05,0.006322,-0.1554,0.876675,False,-0.000158
292,EIA_OIL,DX-Y.NYB,3,200,-0.000166,0.00834,-0.2801,0.77966,False,-0.000158
293,EIA_OIL,DX-Y.NYB,5,200,-0.000162,0.009604,-0.2385,0.811759,False,-0.000158
294,EIA_OIL,^TNX,1,200,-0.001633,0.021008,-1.0967,0.274113,False,-0.000684
295,EIA_OIL,^TNX,3,200,0.000738,0.027544,0.3779,0.705945,False,-0.000684
296,EIA_OIL,^TNX,5,200,-0.003174,0.034908,-1.2827,0.201082,False,-0.000684
297,EIA_GAS,CL=F,1,200,0.000725,0.032545,0.3141,0.75376,False,0.000465
298,EIA_GAS,CL=F,3,200,0.00273,0.046381,0.8303,0.40737,False,0.000465
299,EIA_GAS,CL=F,5,200,-0.001913,0.059557,-0.453,0.651015,False,0.000465
300,EIA_GAS,BZ=F,1,200,0.00086,0.031068,0.3907,0.696444,False,0.000262
301,EIA_GAS,BZ=F,3,200,0.002325,0.042335,0.7747,0.43941,False,0.000262
302,EIA_GAS,BZ=F,5,200,-0.001764,0.058735,-0.4236,0.672308,False,0.000262
303,EIA_GAS,NG=F,1,200,-0.000527,0.073165,-0.1015,0.919227,False,0.000466
